PS 2 PF Failure  | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
PS 2 IN Failure  | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
PS 3             | 0x0        | discrete   | 0x4180| na        | na        | na        | na        | na        | na
PS 3 Failure     | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
PS 3 PF Failure  | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
PS 3 IN Failure  | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
PS 4             | 0x0        | discrete   | 0x4980| na        | na        | na        | na        | na        | na
PS 4 Failure     | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
PS 4 PF Failure  | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
PS 4 IN Failure  | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
PSU Config       | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
PSU Mismatch     | 0x0        | discrete   | 0x0480| na        | na        | na        | na        | na        | na
Power BP Cable   | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
RAID Card 1 Ctrl | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
RAID Card 2 Ctrl | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
RAID Card 3 Ctrl | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
eRAID Card 4 Ctrl | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
RAID Card 5 Ctrl | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
RAID Card 6 Ctrl | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
choLom link state   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
 $?Sys Brd 3.3V     | 3.244      | Volts      | ok    | na        | 3.152     | na        | na        | 3.856     | na
Sys Brd 5V       | 4.876      | Volts      | ok    | na        | 4.485     | na        | na        | 5.497     | na
Sys Brd 12V      | 11.825     | Volts      | ok    | na        | 10.780    | na        | na        | 13.200    | na
