VR_P0_IOUT       | 64.000     | Amps       | ok    | na        | na        | na        | 228.000   | 248.000   | na        
VR_D_AC_IOUT     | 2.000      | Amps       | ok    | na        | na        | na        | 228.000   | 248.000   | na        
VR_D_BD_IOUT     | 3.000      | Amps       | ok    | na        | na        | na        | 228.000   | 248.000   | na        
VR_P1_IOUT       | 58.000     | Amps       | ok    | na        | na        | na        | 228.000   | 248.000   | na        
VR_D_EG_IOUT     | 3.000      | Amps       | ok    | na        | na        | na        | 228.000   | 248.000   | na        
VR_D_FH_IOUT     | 2.000      | Amps       | ok    | na        | na        | na        | 228.000   | 248.000   | na        
CPU0_FAN         | na         | RPM        | na    | na        | 600.000   | 800.000   | na        | na        | na        
CPU1_FAN         | na         | RPM        | na    | na        | 600.000   | 800.000   | na        | na        | na        
SYS_FAN1         | na         | RPM        | na    | na        | 600.000   | 800.000   | na        | na        | na        
SYS_FAN2         | na         | RPM        | na    | na        | 600.000   | 800.000   | na        | na        | na        
SYS_FAN3         | na         | RPM        | na    | na        | 600.000   | 800.000   | na        | na        | na        
SYS_FAN4         | na         | RPM        | na    | na        | 600.000   | 800.000   | na        | na        | na        
SYS_FAN5         | na         | RPM        | na    | na        | 600.000   | 800.000   | na        | na        | na        
CPU0             | 0x0        | discrete   | 0x8080| na        | na        | na        | na        | na        | na        
CPU1             | 0x0        | discrete   | 0x8080| na        | na        | na        | na        | na        | na        
PSU1             | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
MB_TEMP1         | 42.000     | degrees C  | ok    | na        | 0.000     | 5.000     | 75.000    | 80.000    | na        
MB_TEMP2         | 34.000     | degrees C  | ok    | na        | 0.000     | 5.000     | 75.000    | 80.000    | na        
MB_TEMP3         | 31.000     | degrees C  | ok    | na        | 0.000     | 5.000     | 75.000    | 80.000    | na        
SEL              | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
