ID   | Name             | Type                     | Reading    | Units | Event
4928 | DIMM-2C          | OEM Reserved             | N/A        | N/A   | 'OEM Event = 0001h'
4976 | DIMM-2C          | OEM Reserved             | N/A        | N/A   | 'OEM Event = 0001h'
5024 | DIMM-3C          | OEM Reserved             | N/A        | N/A   | N/A
5072 | DIMM-3C          | OEM Reserved             | N/A        | N/A   | N/A
5120 | DIMM-1D          | OEM Reserved             | N/A        | N/A   | 'OEM Event = 0002h'
5168 | DIMM-1D          | OEM Reserved             | N/A        | N/A   | 'OEM Event = 0001h'
5216 | DIMM-2D          | OEM Reserved             | N/A        | N/A   | 'OEM Event = 0002h'
5264 | DIMM-2D          | OEM Reserved             | N/A        | N/A   | 'OEM Event = 0001h'
5312 | DIMM-3D          | OEM Reserved             | N/A        | N/A   | N/A
5360 | DIMM-3D          | OEM Reserved             | N/A        | N/A   | N/A
5408 | DIMM-1E          | OEM Reserved             | N/A        | N/A   | 'OEM Event = 0001h'
5456 | DIMM-1E          | OEM Reserved             | N/A        | N/A   | 'OEM Event = 0001h'
5504 | DIMM-2E          | OEM Reserved             | N/A        | N/A   | 'OEM Event = 0001h'
5552 | DIMM-2E          | OEM Reserved             | N/A        | N/A   | 'OEM Event = 0001h'
5600 | DIMM-3E          | OEM Reserved             | N/A        | N/A   | N/A
5648 | DIMM-3E          | OEM Reserved             | N/A        | N/A   | N/A
5696 | DIMM-1F          | OEM Reserved             | N/A        | N/A   | 'OEM Event = 0001h'
5744 | DIMM-1F          | OEM Reserved             | N/A        | N/A   | 'OEM Event = 0001h'
5792 | DIMM-2F          | OEM Reserved             | N/A        | N/A   | 'OEM Event = 0001h'
5840 | DIMM-2F          | OEM Reserved             | N/A        | N/A   | 'OEM Event = 0001h'
5888 | DIMM-3F          | OEM Reserved             | N/A        | N/A   | N/A
5936 | DIMM-3F          | OEM Reserved             | N/A        | N/A   | N/A
5984 | DIMM-3A          | Entity Presence          | N/A        | N/A   | 'Entity Absent'
6032 | DIMM-3B          | Entity Presence          | N/A        | N/A   | 'Entity Absent'
6080 | DIMM-3C          | Entity Presence          | N/A        | N/A   | 'Entity Absent'
6128 | DIMM-3D          | Entity Presence          | N/A        | N/A   | 'Entity Absent'
6176 | DIMM-3E          | Entity Presence          | N/A        | N/A   | 'Entity Absent'
6224 | DIMM-3F          | Entity Presence          | N/A        | N/A   | 'Entity Absent'
6272 | Total Power      | Entity Presence          | N/A        | N/A   | 'Entity Present'
6320 | PSU1 Power       | Entity Presence          | N/A        | N/A   | 'Entity Present'
6368 | PSU2 Power       | Entity Presence          | N/A        | N/A   | 'Entity Present'
6416 | Power Level      | Entity Presence          | N/A        | N/A   | 'Entity Present'
6464 | Power Unit       | Entity Presence          | N/A        | N/A   | 'Entity Present'
6512 | PSU              | Entity Presence          | N/A        | N/A   | 'Entity Absent'
6560 | PSU1             | Entity Presence          | N/A        | N/A   | 'Entity Present'
6608 | PSU2             | Entity Presence          | N/A        | N/A   | 'Entity Present'
6656 | FAN PSU          | Entity Presence          | N/A        | N/A   | 'Entity Absent'
6704 | FAN PSU1         | Entity Presence          | N/A        | N/A   | 'Entity Present'
6752 | FAN PSU2         | Entity Presence          | N/A        | N/A   | 'Entity Present'
6800 | FAN3 SYS         | Entity Presence          | N/A        | N/A   | 'Entity Present'
6848 | FAN4 SYS         | Entity Presence          | N/A        | N/A   | 'Entity Present'
6896 | Watchdog         | Watchdog 2               | N/A        | N/A   | 'OK'
6944 | Housing open     | Physical Security        | N/A        | N/A   | 'OK'
6992 | iRMC request     | OEM Reserved             | N/A        | N/A   | 'OK'
7040 | I2C1             | OEM Reserved             | N/A        | N/A   | 'OEM Event = 0002h'
7088 | I2C2             | OEM Reserved             | N/A        | N/A   | 'OEM Event = 0002h'
7136 | I2C3             | OEM Reserved             | N/A        | N/A   | 'OEM Event = 0002h'
7184 | I2C4             | OEM Reserved             | N/A        | N/A   | 'OEM Event = 0002h'
7232 | I2C5             | OEM Reserved             | N/A        | N/A   | 'OEM Event = 0002h'
7280 | I2C6             | OEM Reserved             | N/A        | N/A   | 'OEM Event = 0002h'
7328 | Config backup    | OEM Reserved             | N/A        | N/A   | 'OK'
8240 | CPU detection    | System Event             | N/A        | N/A   | 'OK'
9632 | System Mgmt SW   | OEM Reserved             | N/A        | N/A   | N/A
9680 | Local Monitor    | Other Fru                | N/A        | N/A   | 'Device Enabled'
9728 | Pwr Btn override | System ACPI Power State  | N/A        | N/A   | 'OK'
9776 | NMI              | Critical Interrupt       | N/A        | N/A   | 'OK'
9824 | System BIOS      | OEM Reserved             | N/A        | N/A   | N/A
9872 | iRMC             | OEM Reserved             | N/A        | N/A   | N/A
